SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
92,24.01.20,Beijing,Mainland China,24.01.20 17:00,36,0,1
93,24.01.20,Chongqing,Mainland China,24.01.20 17:00,27,0,0
94,24.01.20,Hunan,Mainland China,24.01.20 17:00,24,0,0
95,24.01.20,Guangxi,Mainland China,24.01.20 17:00,23,0,0
96,24.01.20,Shanghai,Mainland China,24.01.20 17:00,20,0,1
97,24.01.20,Jiangxi,Mainland China,24.01.20 17:00,18,0,0
98,24.01.20,Sichuan,Mainland China,24.01.20 17:00,15,0,0
99,24.01.20,Shandong,Mainland China,24.01.20 17:00,15,0,0
100,24.01.20,Anhui,Mainland China,24.01.20 17:00,15,0,0
101,24.01.20,Fujian,Mainland China,24.01.20 17:00,10,0,0
102,24.01.20,Henan,Mainland China,24.01.20 17:00,9,0,0
103,24.01.20,Jiangsu,Mainland China,24.01.20 17:00,9,0,0
104,24.01.20,Hainan,Mainland China,24.01.20 17:00,8,0,0
105,24.01.20,Tianjin,Mainland China,24.01.20 17:00,8,0,0
106,24.01.20,Yunnan,Mainland China,24.01.20 17:00,5,0,0
107,24.01.20,Shaanxi,Mainland China,24.01.20 17:00,5,0,0
108,24.01.20,Heilongjiang,Mainland China,24.01.20 17:00,4,1,0
109,24.01.20,Liaoning,Mainland China,24.01.20 17:00,4,0,0
110,24.01.20,Guizhou,Mainland China,24.01.20 17:00,3,0,0
111,24.01.20,Jilin,Mainland China,24.01.20 17:00,3,0,0
112,24.01.20,Taiwan,Taiwan,24.01.20 17:00,3,0,0
113,24.01.20,Ningxia,Mainland China,24.01.20 17:00,2,0,0
114,24.01.20,Hong Kong,Hong Kong,24.01.20 17:00,2,0,0
115,24.01.20,Macau,Macau,24.01.20 17:00,2,0,0
116,24.01.20,Hebei,Mainland China,24.01.20 17:00,2,1,0
117,24.01.20,Gansu,Mainland China,24.01.20 17:00,2,0,0
118,24.01.20,Xinjiang,Mainland China,24.01.20 17:00,2,0,0
119,24.01.20,Shanxi,Mainland China,24.01.20 17:00,1,0,0
120,24.01.20,Inner Mongolia,Mainland China,24.01.20 17:00,1,0,0
121,24.01.20,Qinghai,Mainland China,24.01.20 17:00,0,0,0
122,24.01.20,Washington,US,24.01.20 17:00,1,0,0
123,24.01.20,Chicago,US,24.01.20 17:00,1,0,0
124,24.01.20,,Japan,24.01.20 17:00,2,0,0
125,24.01.20,,Thailand,24.01.20 17:00,5,0,3
126,24.01.20,,South Korea,24.01.20 17:00,2,0,0
127,24.01.20,,Singapore,24.01.20 17:00,3,0,0
128,24.01.20,,Vietnam,24.01.20 17:00,2,0,0
129,24.01.20,,France,24.01.20 17:00,2,0,0
130,24.01.20,Unknown,China,24.01.20 17:00,0,0,0
131,24.01.20,,Kiribati,24.01.20 17:00,0,0,0
132,25.01.20,Hubei,Mainland China,25.01.20 17:00,761,40,32
133,25.01.20,Guangdong,Mainland China,25.01.20 17:00,78,0,2
134,25.01.20,Zhejiang,Mainland China,25.01.20 17:00,62,0,1
135,25.01.20,Chongqing,Mainland China,25.01.20 17:00,57,0,0
136,25.01.20,Hunan,Mainland China,25.01.20 17:00,43,0,0
137,25.01.20,Beijing,Mainland China,25.01.20 17:00,41,0,2
138,25.01.20,Anhui,Mainland China,25.01.20 17:00,39,0,0
139,25.01.20,Shanghai,Mainland China,25.01.20 17:00,33,0,1
140,25.01.20,Henan,Mainland China,25.01.20 17:00,32,0,0
141,25.01.20,Sichuan,Mainland China,25.01.20 17:00,28,0,0
142,25.01.20,Shandong,Mainland China,25.01.20 17:00,27,0,0
143,25.01.20,Guangxi,Mainland China,25.01.20 17:00,23,0,0
144,25.01.20,Hainan,Mainland China,25.01.20 17:00,19,0,0
145,25.01.20,Jiangxi,Mainland China,25.01.20 17:00,18,0,0
146,25.01.20,Fujian,Mainland China,25.01.20 17:00,18,0,0
147,25.01.20,Jiangsu,Mainland China,25.01.20 17:00,18,0,1
148,25.01.20,Liaoning,Mainland China,25.01.20 17:00,17,0,0
149,25.01.20,Shaanxi,Mainland China,25.01.20 17:00,15,0,0
150,25.01.20,Yunnan,Mainland China,25.01.20 17:00,11,0,0
151,25.01.20,Tianjin,Mainland China,25.01.20 17:00,10,0,0
152,25.01.20,Heilongjiang,Mainland China,25.01.20 17:00,9,1,0
153,25.01.20,Hebei,Mainland China,25.01.20 17:00,8,1,0
154,25.01.20,Inner Mongolia,Mainland China,25.01.20 17:00,7,0,0
155,25.01.20,Shanxi,Mainland China,25.01.20 17:00,6,0,0
156,25.01.20,Hong Kong,Hong Kong,25.01.20 17:00,5,0,0
157,25.01.20,Guizhou,Mainland China,25.01.20 17:00,4,0,0
158,25.01.20,Jilin,Mainland China,25.01.20 17:00,4,0,0
159,25.01.20,Gansu,Mainland China,25.01.20 17:00,4,0,0
160,25.01.20,Ningxia,Mainland China,25.01.20 17:00,3,0,0
161,25.01.20,Taiwan,Taiwan,25.01.20 17:00,3,0,0
162,25.01.20,Xinjiang,Mainland China,25.01.20 17:00,3,0,0
163,25.01.20,Macau,Macau,25.01.20 17:00,2,0,0
164,25.01.20,Qinghai,Mainland China,25.01.20 17:00,1,0,0
165,25.01.20,Washington,US,25.01.20 17:00,1,0,0
166,25.01.20,Illinois,US,25.01.20 17:00,1,0,0
167,25.01.20,,Japan,25.01.20 17:00,2,0,0
168,25.01.20,,Thailand,25.01.20 17:00,6,0,3
169,25.01.20,,South Korea,25.01.20 17:00,2,0,0
170,25.01.20,,Singapore,25.01.20 17:00,3,0,0
